x1,y1,x2,y2,ClassId,Path
133,76,166,110,9,output_folder5\merged_imageWKQXRL.png
186,64,244,122,12,output_folder5\merged_imageWKQXRL.png
265,67,308,119,24,output_folder5\merged_imageWKQXRL.png
327,82,349,104,11,output_folder5\merged_imageWKQXRL.png
369,72,408,113,38,output_folder5\merged_imageWKQXRL.png
5,82,49,121,23,output_folder5\merged_imagePMSNFH.png
65,75,118,128,10,output_folder5\merged_imagePMSNFH.png
133,93,148,109,6,output_folder5\merged_imagePMSNFH.png
164,90,186,112,1,output_folder5\merged_imagePMSNFH.png
7,410,67,472,4,output_folder5\merged_imageARKNDG.png
95,428,121,455,1,output_folder5\merged_imageARKNDG.png
147,424,185,458,29,output_folder5\merged_imageARKNDG.png
210,425,248,459,18,output_folder5\merged_imageARKNDG.png
273,430,293,454,17,output_folder5\merged_imageARKNDG.png
319,425,352,458,23,output_folder5\merged_imageARKNDG.png
6,85,51,125,13,output_folder5\merged_image9JNRCY.png
75,94,97,117,5,output_folder5\merged_image9JNRCY.png
121,93,145,117,10,output_folder5\merged_image9JNRCY.png
10,101,108,190,13,output_folder5\merged_imageVRIJL3.png
137,134,158,156,10,output_folder5\merged_imageVRIJL3.png
180,130,213,161,13,output_folder5\merged_imageVRIJL3.png
240,107,326,182,18,output_folder5\merged_imageVRIJL3.png
7,83,69,145,38,output_folder5\merged_imageQNHDSR.png
100,101,125,127,2,output_folder5\merged_imageQNHDSR.png
155,90,210,138,22,output_folder5\merged_imageQNHDSR.png
240,93,281,134,27,output_folder5\merged_imageQNHDSR.png
312,89,363,139,38,output_folder5\merged_imageQNHDSR.png
5,75,35,105,34,output_folder5\merged_imageHCG2OX.png
56,76,85,105,38,output_folder5\merged_imageHCG2OX.png
106,77,137,105,26,output_folder5\merged_imageHCG2OX.png
158,78,184,102,25,output_folder5\merged_imageHCG2OX.png
206,78,229,104,9,output_folder5\merged_imageHCG2OX.png
249,80,269,100,5,output_folder5\merged_imageHCG2OX.png
6,92,32,119,39,output_folder5\merged_imageUSFI5W.png
56,96,74,115,1,output_folder5\merged_imageUSFI5W.png
98,97,113,113,6,output_folder5\merged_imageUSFI5W.png
140,73,211,139,13,output_folder5\merged_imageUSFI5W.png
237,90,268,122,7,output_folder5\merged_imageUSFI5W.png
5,86,38,122,4,output_folder5\merged_image3ZPKO2.png
62,92,84,114,8,output_folder5\merged_image3ZPKO2.png
109,91,136,116,21,output_folder5\merged_image3ZPKO2.png
5,96,40,131,11,output_folder5\merged_imageSF7J7N.png
70,89,125,137,26,output_folder5\merged_imageSF7J7N.png
154,92,193,134,6,output_folder5\merged_imageSF7J7N.png
6,89,30,113,1,output_folder5\merged_image4KDG4T.png
55,79,95,122,11,output_folder5\merged_image4KDG4T.png
118,93,133,108,10,output_folder5\merged_image4KDG4T.png
158,86,190,115,25,output_folder5\merged_image4KDG4T.png
214,88,239,113,38,output_folder5\merged_image4KDG4T.png
11,389,121,495,11,output_folder5\merged_imageTQLYU3.png
154,432,175,454,2,output_folder5\merged_imageTQLYU3.png
201,430,225,454,35,output_folder5\merged_imageTQLYU3.png
252,425,286,461,2,output_folder5\merged_imageTQLYU3.png
5,92,21,110,9,output_folder5\merged_imageOMTFY2.png
40,89,62,112,6,output_folder5\merged_imageOMTFY2.png
81,83,121,119,11,output_folder5\merged_imageOMTFY2.png
5,78,40,114,4,output_folder5\merged_imageENP7XW.png
56,85,80,109,3,output_folder5\merged_imageENP7XW.png
96,79,129,114,38,output_folder5\merged_imageENP7XW.png
145,88,162,106,33,output_folder5\merged_imageENP7XW.png
186,30,317,163,14,output_folder5\merged_imageENP7XW.png
341,88,357,105,17,output_folder5\merged_imageENP7XW.png
5,90,33,115,30,output_folder5\merged_image1B7HSD.png
55,81,107,124,28,output_folder5\merged_image1B7HSD.png
133,61,220,144,26,output_folder5\merged_image1B7HSD.png
7,115,75,183,12,output_folder5\merged_imageZBW4I5.png
97,126,152,174,13,output_folder5\merged_imageZBW4I5.png
172,140,191,158,11,output_folder5\merged_imageZBW4I5.png
6,87,33,112,20,output_folder5\merged_image37N413.png
52,75,97,123,0,output_folder5\merged_image37N413.png
115,85,144,114,4,output_folder5\merged_image37N413.png
163,82,197,116,3,output_folder5\merged_image37N413.png
219,57,307,141,2,output_folder5\merged_image37N413.png
6,103,27,124,2,output_folder5\merged_imageUE48IQ.png
56,104,75,123,5,output_folder5\merged_imageUE48IQ.png
104,94,137,133,4,output_folder5\merged_imageUE48IQ.png
168,65,250,162,15,output_folder5\merged_imageUE48IQ.png
281,102,304,125,4,output_folder5\merged_imageUE48IQ.png
333,103,354,125,4,output_folder5\merged_imageUE48IQ.png
8,68,77,133,24,output_folder5\merged_imageHUIXUK.png
102,66,170,134,13,output_folder5\merged_imageHUIXUK.png
192,83,224,117,2,output_folder5\merged_imageHUIXUK.png
245,87,271,113,38,output_folder5\merged_imageHUIXUK.png
6,84,25,103,1,output_folder5\merged_imageVERUZ3.png
50,62,117,124,31,output_folder5\merged_imageVERUZ3.png
147,56,233,131,13,output_folder5\merged_imageVERUZ3.png
261,81,286,107,8,output_folder5\merged_imageVERUZ3.png
309,83,333,104,3,output_folder5\merged_imageVERUZ3.png
5,76,57,133,17,output_folder5\merged_imageRZQWRA.png
80,93,110,117,30,output_folder5\merged_imageRZQWRA.png
134,87,165,121,38,output_folder5\merged_imageRZQWRA.png
189,92,216,118,7,output_folder5\merged_imageRZQWRA.png
6,90,48,132,7,output_folder5\merged_imageON6QI2.png
77,100,99,121,11,output_folder5\merged_imageON6QI2.png
128,96,156,123,14,output_folder5\merged_imageON6QI2.png
186,90,231,131,3,output_folder5\merged_imageON6QI2.png
5,93,43,130,33,output_folder5\merged_imageEFF938.png
70,104,85,119,5,output_folder5\merged_imageEFF938.png
112,100,138,125,11,output_folder5\merged_imageEFF938.png
165,90,202,132,35,output_folder5\merged_imageEFF938.png
5,74,29,98,3,output_folder5\merged_imageV72YSD.png
45,67,86,104,13,output_folder5\merged_imageV72YSD.png
103,75,124,96,38,output_folder5\merged_imageV72YSD.png
139,77,157,96,0,output_folder5\merged_imageV72YSD.png
6,110,68,166,13,output_folder5\merged_imageGHZKWU.png
89,128,108,148,9,output_folder5\merged_imageGHZKWU.png
127,127,149,150,38,output_folder5\merged_imageGHZKWU.png
6,96,41,132,12,output_folder5\merged_imageJ2J14K.png
72,83,140,144,23,output_folder5\merged_imageJ2J14K.png
171,104,190,124,35,output_folder5\merged_imageJ2J14K.png
221,72,303,156,18,output_folder5\merged_imageJ2J14K.png
337,72,420,154,33,output_folder5\merged_imageJ2J14K.png
451,104,469,124,5,output_folder5\merged_imageJ2J14K.png
6,138,27,160,1,output_folder5\merged_imageU7ECI4.png
58,133,91,165,23,output_folder5\merged_imageU7ECI4.png
121,132,153,165,16,output_folder5\merged_imageU7ECI4.png
184,126,230,173,36,output_folder5\merged_imageU7ECI4.png
263,119,331,177,20,output_folder5\merged_imageU7ECI4.png
6,78,32,106,10,output_folder5\merged_image11U1UZ.png
51,84,67,100,38,output_folder5\merged_image11U1UZ.png
86,68,133,117,39,output_folder5\merged_image11U1UZ.png
151,77,181,107,1,output_folder5\merged_image11U1UZ.png
6,116,38,161,13,output_folder5\merged_imageZ1MLUQ.png
55,119,90,158,6,output_folder5\merged_imageZ1MLUQ.png
107,110,164,167,7,output_folder5\merged_imageZ1MLUQ.png
181,125,207,152,1,output_folder5\merged_imageZ1MLUQ.png
8,68,90,140,13,output_folder5\merged_imagePYDGNJ.png
116,91,144,119,11,output_folder5\merged_imagePYDGNJ.png
169,92,192,118,8,output_folder5\merged_imagePYDGNJ.png
216,91,248,119,28,output_folder5\merged_imagePYDGNJ.png
272,82,318,128,3,output_folder5\merged_imagePYDGNJ.png
342,84,384,124,13,output_folder5\merged_imagePYDGNJ.png
6,85,42,121,4,output_folder5\merged_imageMOGXHR.png
60,86,89,120,15,output_folder5\merged_imageMOGXHR.png
109,82,150,125,40,output_folder5\merged_imageMOGXHR.png
168,93,188,113,10,output_folder5\merged_imageMOGXHR.png
207,93,228,114,7,output_folder5\merged_imageMOGXHR.png
5,74,47,120,2,output_folder5\merged_image2ARSO3.png
70,84,95,110,1,output_folder5\merged_image2ARSO3.png
119,87,140,108,8,output_folder5\merged_image2ARSO3.png
163,86,183,107,17,output_folder5\merged_image2ARSO3.png
208,75,260,118,20,output_folder5\merged_image2ARSO3.png
283,80,313,114,16,output_folder5\merged_image2ARSO3.png
5,102,23,121,10,output_folder5\merged_image9GBO41.png
55,101,74,122,5,output_folder5\merged_image9GBO41.png
104,102,125,122,31,output_folder5\merged_image9GBO41.png
156,86,207,137,0,output_folder5\merged_image9GBO41.png
239,101,262,123,2,output_folder5\merged_image9GBO41.png
6,84,32,111,10,output_folder5\merged_imageN2CA3Z.png
50,88,70,106,27,output_folder5\merged_imageN2CA3Z.png
94,53,213,144,13,output_folder5\merged_imageN2CA3Z.png
6,94,28,117,7,output_folder5\merged_imageIBL6YS.png
48,91,76,122,12,output_folder5\merged_imageIBL6YS.png
96,95,117,116,31,output_folder5\merged_imageIBL6YS.png
6,73,68,136,14,output_folder5\merged_imageN65KC9.png
87,95,105,113,3,output_folder5\merged_imageN65KC9.png
123,87,155,120,41,output_folder5\merged_imageN65KC9.png
174,88,203,120,5,output_folder5\merged_imageN65KC9.png
223,94,243,114,1,output_folder5\merged_imageN65KC9.png
261,91,285,116,10,output_folder5\merged_imageN65KC9.png
6,92,27,113,9,output_folder5\merged_imageNEJA58.png
45,85,79,121,17,output_folder5\merged_imageNEJA58.png
99,77,157,129,11,output_folder5\merged_imageNEJA58.png
177,89,210,118,25,output_folder5\merged_imageNEJA58.png
229,77,276,128,5,output_folder5\merged_imageNEJA58.png
5,128,49,170,24,output_folder5\merged_image8GPOZO.png
77,123,131,177,10,output_folder5\merged_image8GPOZO.png
158,130,197,169,33,output_folder5\merged_image8GPOZO.png
6,75,61,131,9,output_folder5\merged_imageVX5GD1.png
90,50,202,155,13,output_folder5\merged_imageVX5GD1.png
231,76,293,131,31,output_folder5\merged_imageVX5GD1.png
317,77,379,130,13,output_folder5\merged_imageVX5GD1.png
402,77,453,130,4,output_folder5\merged_imageVX5GD1.png
475,80,517,125,1,output_folder5\merged_imageVX5GD1.png
5,72,43,111,10,output_folder5\merged_imageV66OSA.png
64,73,102,109,13,output_folder5\merged_imageV66OSA.png
123,79,145,104,35,output_folder5\merged_imageV66OSA.png
166,84,181,99,9,output_folder5\merged_imageV66OSA.png
203,76,232,105,4,output_folder5\merged_imageV66OSA.png
254,63,306,118,3,output_folder5\merged_imageV66OSA.png
5,118,41,156,3,output_folder5\merged_imageUK2E4B.png
59,121,97,153,13,output_folder5\merged_imageUK2E4B.png
115,123,143,151,8,output_folder5\merged_imageUK2E4B.png
161,122,190,151,4,output_folder5\merged_imageUK2E4B.png
213,89,321,185,11,output_folder5\merged_imageUK2E4B.png
5,97,27,118,7,output_folder5\merged_imageR4N9P6.png
50,88,87,126,4,output_folder5\merged_imageR4N9P6.png
115,60,220,154,25,output_folder5\merged_imageR4N9P6.png
247,93,275,121,29,output_folder5\merged_imageR4N9P6.png
296,84,342,130,8,output_folder5\merged_imageR4N9P6.png
363,97,383,117,41,output_folder5\merged_imageR4N9P6.png
6,72,68,134,18,output_folder5\merged_imageY2Q2KN.png
87,89,115,115,11,output_folder5\merged_imageY2Q2KN.png
134,81,183,126,31,output_folder5\merged_imageY2Q2KN.png
201,91,226,116,5,output_folder5\merged_imageY2Q2KN.png
243,87,274,120,27,output_folder5\merged_imageY2Q2KN.png
6,80,68,131,21,output_folder5\merged_imageRPJ92W.png
93,94,117,117,21,output_folder5\merged_imageRPJ92W.png
141,84,186,127,35,output_folder5\merged_imageRPJ92W.png
211,94,235,118,40,output_folder5\merged_imageRPJ92W.png
263,68,344,143,2,output_folder5\merged_imageRPJ92W.png
371,87,411,124,19,output_folder5\merged_imageRPJ92W.png
5,125,33,153,7,output_folder5\merged_image7P5X0P.png
53,92,147,184,7,output_folder5\merged_image7P5X0P.png
168,119,205,157,1,output_folder5\merged_image7P5X0P.png
226,92,307,184,3,output_folder5\merged_image7P5X0P.png
6,98,30,124,38,output_folder5\merged_imageI0EJDC.png
56,85,107,138,15,output_folder5\merged_imageI0EJDC.png
134,86,182,136,14,output_folder5\merged_imageI0EJDC.png
5,429,38,465,24,output_folder5\merged_imageXJH60H.png
69,425,112,468,9,output_folder5\merged_imageXJH60H.png
143,426,183,467,1,output_folder5\merged_imageXJH60H.png
214,434,239,459,12,output_folder5\merged_imageXJH60H.png
269,436,289,457,35,output_folder5\merged_imageXJH60H.png
6,76,29,99,38,output_folder5\merged_imageB7HGBU.png
46,55,109,119,1,output_folder5\merged_imageB7HGBU.png
128,77,148,98,3,output_folder5\merged_imageB7HGBU.png
165,61,217,114,1,output_folder5\merged_imageB7HGBU.png
5,91,23,111,35,output_folder5\merged_imageZPKXZB.png
43,83,78,118,14,output_folder5\merged_imageZPKXZB.png
99,84,132,117,1,output_folder5\merged_imageZPKXZB.png
152,85,184,117,1,output_folder5\merged_imageZPKXZB.png
6,71,50,115,10,output_folder5\merged_image7OG6RA.png
70,81,96,105,1,output_folder5\merged_image7OG6RA.png
117,80,144,107,38,output_folder5\merged_image7OG6RA.png
166,67,225,120,23,output_folder5\merged_image7OG6RA.png
5,84,50,130,3,output_folder5\merged_imageK840LF.png
77,98,95,116,10,output_folder5\merged_imageK840LF.png
127,60,232,154,21,output_folder5\merged_imageK840LF.png
268,72,343,142,25,output_folder5\merged_imageK840LF.png
6,63,61,141,38,output_folder5\merged_image4ADIWW.png
80,91,102,113,12,output_folder5\merged_image4ADIWW.png
121,68,189,136,12,output_folder5\merged_image4ADIWW.png
5,92,34,120,13,output_folder5\merged_imageXOTMVZ.png
60,96,81,117,10,output_folder5\merged_imageXOTMVZ.png
109,68,186,145,18,output_folder5\merged_imageXOTMVZ.png
215,93,239,118,2,output_folder5\merged_imageXOTMVZ.png
265,93,296,120,28,output_folder5\merged_imageXOTMVZ.png
323,93,350,120,7,output_folder5\merged_imageXOTMVZ.png
6,98,29,124,17,output_folder5\merged_image2IMHGA.png
56,97,89,125,2,output_folder5\merged_image2IMHGA.png
116,91,154,131,28,output_folder5\merged_image2IMHGA.png
181,101,201,122,13,output_folder5\merged_image2IMHGA.png
227,94,262,129,8,output_folder5\merged_image2IMHGA.png
13,387,139,501,25,output_folder5\merged_imageUCU6V2.png
176,424,218,465,12,output_folder5\merged_imageUCU6V2.png
249,403,332,484,9,output_folder5\merged_imageUCU6V2.png
374,381,523,507,30,output_folder5\merged_imageUCU6V2.png
559,428,591,460,35,output_folder5\merged_imageUCU6V2.png
619,416,673,472,9,output_folder5\merged_imageUCU6V2.png
6,98,42,134,8,output_folder5\merged_imageGQWH7X.png
73,108,91,126,38,output_folder5\merged_imageGQWH7X.png
121,100,140,134,11,output_folder5\merged_imageGQWH7X.png
5,93,22,110,7,output_folder5\merged_imageIEQSW9.png
38,91,61,114,39,output_folder5\merged_imageIEQSW9.png
76,90,104,115,38,output_folder5\merged_imageIEQSW9.png
120,90,147,114,30,output_folder5\merged_imageIEQSW9.png
163,92,183,112,7,output_folder5\merged_imageIEQSW9.png
5,93,36,124,4,output_folder5\merged_image7S5DK4.png
65,81,120,137,39,output_folder5\merged_image7S5DK4.png
150,95,178,123,1,output_folder5\merged_image7S5DK4.png
210,65,285,152,15,output_folder5\merged_image7S5DK4.png
320,74,399,145,25,output_folder5\merged_image7S5DK4.png
430,97,453,120,4,output_folder5\merged_image7S5DK4.png
6,97,23,115,33,output_folder5\merged_imageV8TNU1.png
46,81,97,132,4,output_folder5\merged_imageV8TNU1.png
119,84,163,129,5,output_folder5\merged_imageV8TNU1.png
6,86,22,103,7,output_folder5\merged_imageXBGB4G.png
44,83,67,106,8,output_folder5\merged_imageXBGB4G.png
89,83,112,106,8,output_folder5\merged_imageXBGB4G.png
135,71,182,119,38,output_folder5\merged_imageXBGB4G.png
6,94,22,111,5,output_folder5\merged_imageZ0RYLT.png
43,55,133,151,9,output_folder5\merged_imageZ0RYLT.png
155,88,186,117,28,output_folder5\merged_imageZ0RYLT.png
203,91,226,113,9,output_folder5\merged_imageZ0RYLT.png
244,90,272,114,13,output_folder5\merged_imageZ0RYLT.png
6,80,53,128,3,output_folder5\merged_imageV1QUF1.png
71,86,109,122,10,output_folder5\merged_imageV1QUF1.png
128,89,163,121,13,output_folder5\merged_imageV1QUF1.png
181,83,223,125,13,output_folder5\merged_imageV1QUF1.png
241,94,261,114,16,output_folder5\merged_imageV1QUF1.png
7,76,67,134,13,output_folder5\merged_imageW288M5.png
93,91,121,120,7,output_folder5\merged_imageW288M5.png
145,90,177,122,12,output_folder5\merged_imageW288M5.png
201,87,228,123,15,output_folder5\merged_imageW288M5.png
253,85,293,126,36,output_folder5\merged_imageW288M5.png
6,140,27,161,4,output_folder5\merged_imageGTYJ3P.png
47,131,85,169,12,output_folder5\merged_imageGTYJ3P.png
104,137,130,163,10,output_folder5\merged_imageGTYJ3P.png
149,135,180,166,33,output_folder5\merged_imageGTYJ3P.png
200,134,233,167,4,output_folder5\merged_imageGTYJ3P.png
8,79,76,135,19,output_folder5\merged_image89D8C4.png
98,93,125,121,12,output_folder5\merged_image89D8C4.png
146,92,162,123,17,output_folder5\merged_image89D8C4.png
183,84,224,129,38,output_folder5\merged_image89D8C4.png
246,88,285,127,1,output_folder5\merged_image89D8C4.png
5,91,37,123,10,output_folder5\merged_imageNP5CYL.png
58,94,83,120,5,output_folder5\merged_imageNP5CYL.png
104,79,158,135,10,output_folder5\merged_imageNP5CYL.png
178,87,222,126,25,output_folder5\merged_imageNP5CYL.png
242,97,259,116,1,output_folder5\merged_imageNP5CYL.png
10,62,97,148,37,output_folder5\merged_imageJ9JKRX.png
125,89,160,121,1,output_folder5\merged_imageJ9JKRX.png
185,92,205,117,33,output_folder5\merged_imageJ9JKRX.png
6,89,30,112,33,output_folder5\merged_imageCGF16A.png
60,89,80,111,6,output_folder5\merged_imageCGF16A.png
111,93,126,109,8,output_folder5\merged_imageCGF16A.png
157,92,176,111,33,output_folder5\merged_imageCGF16A.png
207,83,243,119,38,output_folder5\merged_imageCGF16A.png
7,77,77,150,33,output_folder5\merged_imageLM6QBN.png
107,99,136,128,18,output_folder5\merged_imageLM6QBN.png
165,84,226,144,2,output_folder5\merged_imageLM6QBN.png
256,104,275,123,10,output_folder5\merged_imageLM6QBN.png
304,90,351,137,4,output_folder5\merged_imageLM6QBN.png
380,85,439,144,2,output_folder5\merged_imageLM6QBN.png
5,91,20,106,36,output_folder5\merged_imageCPBPZL.png
37,88,58,109,3,output_folder5\merged_imageCPBPZL.png
77,90,93,108,36,output_folder5\merged_imageCPBPZL.png
110,73,160,124,1,output_folder5\merged_imageCPBPZL.png
180,65,248,133,2,output_folder5\merged_imageCPBPZL.png
6,87,51,132,7,output_folder5\merged_imageDWUBYZ.png
80,94,109,124,7,output_folder5\merged_imageDWUBYZ.png
142,75,222,144,28,output_folder5\merged_imageDWUBYZ.png
254,102,270,117,20,output_folder5\merged_imageDWUBYZ.png
299,88,350,131,11,output_folder5\merged_imageDWUBYZ.png
5,77,37,110,2,output_folder5\merged_image4C646W.png
61,51,164,135,12,output_folder5\merged_image4C646W.png
188,81,215,106,3,output_folder5\merged_image4C646W.png
234,79,265,106,26,output_folder5\merged_image4C646W.png
284,82,308,105,13,output_folder5\merged_image4C646W.png
328,61,391,125,33,output_folder5\merged_image4C646W.png
5,104,30,128,12,output_folder5\merged_imageDSL5K1.png
59,103,83,127,14,output_folder5\merged_imageDSL5K1.png
112,104,135,127,5,output_folder5\merged_imageDSL5K1.png
167,74,250,157,2,output_folder5\merged_imageDSL5K1.png
282,92,329,139,8,output_folder5\merged_imageDSL5K1.png
5,76,47,118,12,output_folder5\merged_imageXM4ZO6.png
64,85,87,108,3,output_folder5\merged_imageXM4ZO6.png
104,80,141,114,20,output_folder5\merged_imageXM4ZO6.png
158,84,184,110,5,output_folder5\merged_imageXM4ZO6.png
201,79,238,115,38,output_folder5\merged_imageXM4ZO6.png
5,82,34,112,38,output_folder5\merged_imageD4CYSE.png
50,87,71,108,10,output_folder5\merged_imageD4CYSE.png
88,73,144,123,12,output_folder5\merged_imageD4CYSE.png
6,96,26,116,38,output_folder5\merged_image8RVR8C.png
46,84,97,128,25,output_folder5\merged_image8RVR8C.png
117,90,149,122,2,output_folder5\merged_image8RVR8C.png
170,94,197,120,1,output_folder5\merged_image8RVR8C.png
6,81,53,126,18,output_folder5\merged_imageAOD3Z8.png
71,79,120,129,2,output_folder5\merged_imageAOD3Z8.png
138,85,173,121,41,output_folder5\merged_imageAOD3Z8.png
192,94,212,114,12,output_folder5\merged_imageAOD3Z8.png
230,87,263,119,35,output_folder5\merged_imageAOD3Z8.png
6,128,30,155,17,output_folder5\merged_imageBVZYUW.png
